Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
Mouscron,7700.0,1.0,house,house,159000.0,,2.0,125.0,1.0,,1.0,40.0,110.0,2.0,,10393880.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/mouscron/7700/10393880
Ronse,9600.0,1.0,house,house,160000.0,,3.0,305.0,,,,,407.0,2.0,,10621604.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10621604
Sint-Niklaas,9100.0,1.0,house,house,159000.0,,2.0,66.0,1.0,9.0,,,42.0,2.0,,10264204.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/10264204
Dilbeek,1700.0,1.0,apartment,service flat,320000.0,,2.0,128.0,1.0,25.0,,,,2.0,,10593602.0,as new,https://www.immoweb.be/en/classified/service-flat/for-sale/dilbeek/1700/10593602
Courcelles,6180.0,1.0,house,house,160000.0,isUnderOption,4.0,,1.0,60.0,1.0,70.0,267.0,2.0,,10019706.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/courcelles/6180/10019706
Herselt,2230.0,,apartment,apartment,289045.0,,1.0,93.0,1.0,17.0,,,,2.0,,10555070.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/herselt/2230/10555070
Soignies,7060.0,1.0,apartment,apartment,174000.0,,1.0,61.0,1.0,7.0,,,,3.0,,10512046.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/soignies/7060/10512046
Ougrée,4102.0,1.0,house,house,169000.0,isUnderOption,4.0,128.0,1.0,11.0,,,85.0,2.0,,10181575.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ougr%C3%A9e/4102/10181575
SAINT-GEORGES-SUR-MEUSE,4470.0,1.0,house,house,165000.0,isUnderOption,3.0,110.0,1.0,30.0,1.0,150.0,785.0,3.0,,10582979.0,good,https://www.immoweb.be/en/classified/house/for-sale/saint-georges-sur-meuse/4470/10582979
AMPSIN,4540.0,0.0,house,house,159500.0,isUnderOption,5.0,200.0,1.0,20.0,1.0,1250.0,1694.0,3.0,,10309869.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ampsin/4540/10309869
Boezinge,8904.0,,house,house,165000.0,,3.0,160.0,,,,,199.0,3.0,,10309693.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/boezinge/8904/10309693
Montegnee,4420.0,1.0,house,house,169000.0,isUnderOption,2.0,121.0,1.0,30.0,,,200.0,2.0,,10399327.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/montegnee/4420/10399327
Rochefort Jemelle,5580.0,0.0,house,mixed use building,169000.0,,3.0,260.0,1.0,14.0,,,252.0,2.0,,10550943.0,to renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/rochefort%20jemelle/5580/10550943
Ougrée,4102.0,1.0,house,house,169000.0,isUnderOption,5.0,128.0,1.0,11.0,,,85.0,2.0,,9388126.0,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ougr%C3%A9e/4102/9388126
Ans,4430.0,1.0,house,house,175000.0,isUnderOption,3.0,145.0,,,1.0,175.0,296.0,3.0,,10464471.0,good,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/10464471
La Louvière Houdeng-Goegnies,7110.0,0.0,house,mansion,169000.0,,3.0,172.0,1.0,,,,270.0,2.0,,10090136.0,to be done up,https://www.immoweb.be/en/classified/mansion/for-sale/la%20louvi%C3%A8re%20houdeng-goegnies/7110/10090136
