Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Uccle,1180,1,apartment,apartment,380000,,2,85,1,10,,,,3,,10663906,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10663906
,Antwerp,2000,1,apartment,apartment,695000,,2,117,1,8,,,,2,,10664791,as new,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10664791
,VICHTE,8570,1,apartment,apartment,362500,,4,345,,,,,,2,,10663620,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/vichte/8570/10663620
,Donceel,4357,1,house,house,400000,,4,330,1,120,1,850,1570,4,,10563785,good,https://www.immoweb.be/en/classified/house/for-sale/donceel/4357/10563785
,ISNES,5032,1,house,house,450000,,4,157,,,1,600,924,4,,10655439,good,https://www.immoweb.be/en/classified/house/for-sale/isnes/5032/10655439
,Brussels City,1000,1,apartment,apartment,745000,,3,190,1,27,,,,2,,10570763,as new,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10570763
,Oupeye Heure-le-Romain,4682,1,house,house,499000,,6,235,1,50,1,1352,1713,4,,10654294,as new,https://www.immoweb.be/en/classified/house/for-sale/oupeye%20heure-le-romain/4682/10654294
,Bruxelles,1000,1,house,mansion,1950000,,6,497,1,24,1,40,242,2,,10653822,good,https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10653822
,Wavre Limal,1300,1,house,house,585000,,3,390,1,39,1,1400,1685,4,,10660390,to renovate,https://www.immoweb.be/en/classified/house/for-sale/wavre%20limal/1300/10660390
,Embourg,4053,1,house,house,279000,,3,132,1,15,1,253,346,3,,10662200,good,https://www.immoweb.be/en/classified/house/for-sale/embourg/4053/10662200
,Rixensart,1330,1,house,house,585000,,3,390,1,39,1,1400,1685,4,,10660391,to renovate,https://www.immoweb.be/en/classified/house/for-sale/rixensart/1330/10660391
,Vielsalm,6690,,house,villa,285000,,4,174,,,1,946,1112,4,,10661486,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/vielsalm/6690/10661486
,Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,1421,1,house,house,595000,,5,203,1,25,1,200,366,3,,10662482,just renovated,https://www.immoweb.be/en/classified/house/for-sale/braine-l%27alleud%20ophain-bois-seigneur-isaac/1421/10662482
,Waregem,8790,1,house,villa,695000,,3,295,1,,,,1500,4,,10661696,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/waregem/8790/10661696
,Bassevelde,9968,1,house,country cottage,695000,,4,296,,,1,350,23417,4,,10659738,to renovate,https://www.immoweb.be/en/classified/country-cottage/for-sale/bassevelde/9968/10659738
,Uccle,1180,1,house,house,1625000,,6,326,1,40,1,250,620,3,,10661837,just renovated,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10661837
,Bornem,2880,1,house,house,155000,,3,100,,,1,150,283,3,,10607047,to renovate,https://www.immoweb.be/en/classified/house/for-sale/bornem/2880/10607047
,Molenbeek-Saint-Jean,1080,1,house,apartment block,1000000,,8,422,,,,,130,2,,10662611,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/molenbeek-saint-jean/1080/10662611
,Eeklo,9900,1,house,house,290000,,4,195,1,68,1,380,689,3,,10666573,to renovate,https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/10666573
,Woluwe-Saint-Pierre,1150,,house,house,795000,,4,282,1,10,1,61,160,2,,10659995,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10659995
,Knokke-Heist Knokke,8300,1,house,villa,3895000,,5,377,1,,,,861,3,1,10672229,as new,https://www.immoweb.be/en/classified/villa/for-sale/knokke-heist%20knokke/8300/10672229
,Verviers,4800,0,house,apartment block,299000,,5,297,1,86,,,230,3,,10666854,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/verviers/4800/10666854
,Saive,4671,0,house,house,195000,,2,76,,,1,281,366,4,,10673121,to be done up,https://www.immoweb.be/en/classified/house/for-sale/saive/4671/10673121
